Program,Year,Period,Geo Level,State,State ANSI,watershed_code,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2024,YEAR,STATE,MASSACHUSETTS,25,0,WHEAT,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19,
SURVEY,2024,YEAR,STATE,MICHIGAN,26,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181,
SURVEY,2024,YEAR,STATE,MICHIGAN,26,0,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.5,
SURVEY,2024,YEAR,STATE,MINNESOTA,27,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174,
SURVEY,2024,YEAR,STATE,MINNESOTA,27,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21,
SURVEY,2024,YEAR,STATE,MISSISSIPPI,28,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186,
SURVEY,2024,YEAR,STATE,MISSISSIPPI,28,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16,
SURVEY,2024,YEAR,STATE,MISSOURI,29,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,183,
SURVEY,2024,YEAR,STATE,MISSOURI,29,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18,
SURVEY,2024,YEAR,STATE,MONTANA,30,0,OATS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,85,
SURVEY,2024,YEAR,STATE,MONTANA,30,0,OATS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20,
SURVEY,2024,YEAR,STATE,NEBRASKA,31,0,SOYBEANS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,188,
SURVEY,2024,YEAR,STATE,NEBRASKA,31,0,SOYBEANS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21,
SURVEY,2024,YEAR,STATE,NEVADA,32,0,BARLEY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,25,
SURVEY,2024,YEAR,STATE,NEW HAMPSHIRE,33,0,BARLEY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21,
SURVEY,2024,YEAR,STATE,NEW JERSEY,34,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157,
SURVEY,2024,YEAR,STATE,NEW JERSEY,34,0,BARLEY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,17,
SURVEY,2024,YEAR,STATE,NEW MEXICO,35,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,157,
SURVEY,2024,YEAR,STATE,NEW MEXICO,35,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22,
SURVEY,2024,YEAR,STATE,NEW YORK,36,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,169,
SURVEY,2024,YEAR,STATE,NEW YORK,36,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19,
SURVEY,2024,YEAR,STATE,NORTH CAROLINA,37,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,87,
SURVEY,2024,YEAR,STATE,NORTH CAROLINA,37,0,COTTON,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,12,
SURVEY,2024,YEAR,STATE,NORTH DAKOTA,38,0,COTTON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149,
SURVEY,2024,YEAR,STATE,NORTH DAKOTA,38,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,15,
SURVEY,2024,YEAR,STATE,OHIO,39,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177,
SURVEY,2024,YEAR,STATE,OHIO,39,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20,
SURVEY,2024,YEAR,STATE,OKLAHOMA,40,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,98,
SURVEY,2024,YEAR,STATE,OKLAHOMA,40,0,OATS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,12,
SURVEY,2024,YEAR,STATE,OREGON,41,0,PEANUTS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,208,
SURVEY,2024,YEAR,STATE,OREGON,41,0,SORGHUM,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23,
SURVEY,2024,YEAR,STATE,OTHER STATES,,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,0,
SURVEY,2024,YEAR,STATE,PENNSYLVANIA,42,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,138,
SURVEY,2024,YEAR,STATE,PENNSYLVANIA,42,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16,
SURVEY,2024,YEAR,STATE,RHODE ISLAND,44,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18,
SURVEY,2024,YEAR,STATE,SOUTH CAROLINA,45,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,101,
SURVEY,2024,YEAR,STATE,SOUTH CAROLINA,45,0,PEANUTS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18,
SURVEY,2024,YEAR,STATE,SOUTH DAKOTA,46,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164,
SURVEY,2024,YEAR,STATE,SOUTH DAKOTA,46,0,BARLEY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,15,
SURVEY,2024,YEAR,STATE,TENNESSEE,47,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152,
SURVEY,2024,YEAR,STATE,TENNESSEE,47,0,CANOLA,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,17,
SURVEY,2024,YEAR,STATE,TEXAS,48,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,112,
SURVEY,2024,YEAR,STATE,TEXAS,48,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18,
SURVEY,2024,YEAR,STATE,UTAH,49,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167,
SURVEY,2024,YEAR,STATE,UTAH,49,0,LENTILS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23,
SURVEY,2024,YEAR,STATE,VERMONT,50,0,PEAS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19,
SURVEY,2024,YEAR,STATE,VIRGINIA,51,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,114,
SURVEY,2024,YEAR,STATE,VIRGINIA,51,0,WHEAT,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,14,
SURVEY,2024,YEAR,STATE,WASHINGTON,53,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,235,
SURVEY,2024,YEAR,STATE,WASHINGTON,53,0,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,26,
SURVEY,2024,YEAR,STATE,WEST VIRGINIA,54,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,110,
SURVEY,2024,YEAR,STATE,WEST VIRGINIA,54,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,12,
SURVEY,2024,YEAR,STATE,WISCONSIN,55,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174,
SURVEY,2024,YEAR,STATE,WISCONSIN,55,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20,
SURVEY,2024,YEAR,STATE,WYOMING,56,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155,
SURVEY,2024,YEAR,STATE,WYOMING,56,0,OATS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23,
SURVEY,2024,YEAR - AUG FORECAST,STATE,ALABAMA,1,0,SOYBEANS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,117,
SURVEY,2024,YEAR - AUG FORECAST,STATE,ARKANSAS,5,0,SOYBEANS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186,
SURVEY,2024,YEAR - AUG FORECAST,STATE,COLORADO,8,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,128,
SURVEY,2024,YEAR - AUG FORECAST,STATE,DELAWARE,10,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153,
SURVEY,2024,YEAR - AUG FORECAST,STATE,GEORGIA,13,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149,
SURVEY,2024,YEAR - AUG FORECAST,STATE,IDAHO,16,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,220,
SURVEY,2024,YEAR - AUG FORECAST,STATE,ILLINOIS,17,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,225,
SURVEY,2024,YEAR - AUG FORECAST,STATE,INDIANA,18,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,207,
SURVEY,2024,YEAR - AUG FORECAST,STATE,IOWA,19,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,209,
SURVEY,2024,YEAR - AUG FORECAST,STATE,KANSAS,20,0,COTTON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,128,
SURVEY,2024,YEAR - AUG FORECAST,STATE,KENTUCKY,21,0,COTTON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187,
SURVEY,2024,YEAR - AUG FORECAST,STATE,LOUISIANA,22,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185,
SURVEY,2024,YEAR - AUG FORECAST,STATE,MARYLAND,24,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,137,
SURVEY,2024,YEAR - AUG FORECAST,STATE,MICHIGAN,26,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,177,
SURVEY,2024,YEAR - AUG FORECAST,STATE,MINNESOTA,27,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185,
SURVEY,2024,YEAR - AUG FORECAST,STATE,MISSISSIPPI,28,0,OATS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186,
SURVEY,2024,YEAR - AUG FORECAST,STATE,MISSOURI,29,0,PEANUTS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181,
SURVEY,2024,YEAR - AUG FORECAST,STATE,NEBRASKA,31,0,SORGHUM,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,194,
SURVEY,2024,YEAR - AUG FORECAST,STATE,NEW YORK,36,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165,
SURVEY,2024,YEAR - AUG FORECAST,STATE,NORTH CAROLINA,37,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,100,
SURVEY,2024,YEAR - AUG FORECAST,STATE,NORTH DAKOTA,38,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,144,
SURVEY,2024,YEAR - AUG FORECAST,STATE,OHIO,39,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,188,
SURVEY,2024,YEAR - AUG FORECAST,STATE,OKLAHOMA,40,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,142,
SURVEY,2024,YEAR - AUG FORECAST,STATE,OTHER STATES,,0,PEANUTS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160.5,
SURVEY,2024,YEAR - AUG FORECAST,STATE,PENNSYLVANIA,42,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,135,
SURVEY,2024,YEAR - AUG FORECAST,STATE,SOUTH CAROLINA,45,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,95,
SURVEY,2024,YEAR - AUG FORECAST,STATE,SOUTH DAKOTA,46,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,162,
SURVEY,2024,YEAR - AUG FORECAST,STATE,TENNESSEE,47,0,BEANS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160,
SURVEY,2024,YEAR - AUG FORECAST,STATE,TEXAS,48,0,CANOLA,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,117,
SURVEY,2024,YEAR - AUG FORECAST,STATE,VIRGINIA,51,0,CHICKPEAS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,100,
SURVEY,2024,YEAR - AUG FORECAST,STATE,WASHINGTON,53,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,250,
SURVEY,2024,YEAR - AUG FORECAST,STATE,WISCONSIN,55,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,183,
SURVEY,2024,YEAR - NOV FORECAST,STATE,ALABAMA,1,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,100,
SURVEY,2024,YEAR - NOV FORECAST,STATE,ARKANSAS,5,0,LENTILS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186,
SURVEY,2024,YEAR - NOV FORECAST,STATE,COLORADO,8,0,PEAS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,118,
SURVEY,2024,YEAR - NOV FORECAST,STATE,DELAWARE,10,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155,
SURVEY,2024,YEAR - NOV FORECAST,STATE,GEORGIA,13,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,142,
SURVEY,2024,YEAR - NOV FORECAST,STATE,IDAHO,16,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,207,
SURVEY,2024,YEAR - NOV FORECAST,STATE,ILLINOIS,17,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,218,
SURVEY,2024,YEAR - NOV FORECAST,STATE,INDIANA,18,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,209,
SURVEY,2024,YEAR - NOV FORECAST,STATE,IOWA,19,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,213,
SURVEY,2024,YEAR - NOV FORECAST,STATE,KANSAS,20,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,138,
SURVEY,2024,YEAR - NOV FORECAST,STATE,KENTUCKY,21,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,180,
SURVEY,2024,YEAR - NOV FORECAST,STATE,LOUISIANA,22,0,OATS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,189,
SURVEY,2024,YEAR - NOV FORECAST,STATE,MARYLAND,24,0,SOYBEANS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130,
SURVEY,2024,YEAR - NOV FORECAST,STATE,MICHIGAN,26,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,179,
SURVEY,2024,YEAR - NOV FORECAST,STATE,MINNESOTA,27,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,183,
SURVEY,2024,YEAR - NOV FORECAST,STATE,MISSISSIPPI,28,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187,
SURVEY,2024,YEAR - NOV FORECAST,STATE,MISSOURI,29,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,182,
SURVEY,2024,YEAR - NOV FORECAST,STATE,NEBRASKA,31,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,194,
SURVEY,2024,YEAR - NOV FORECAST,STATE,NEW YORK,36,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,164,
SURVEY,2024,YEAR - NOV FORECAST,STATE,NORTH CAROLINA,37,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,86,
SURVEY,2024,YEAR - NOV FORECAST,STATE,NORTH DAKOTA,38,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,149,
SURVEY,2024,YEAR - NOV FORECAST,STATE,OHIO,39,0,COTTON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185,
SURVEY,2024,YEAR - NOV FORECAST,STATE,OKLAHOMA,40,0,COTTON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,130,
SURVEY,2024,YEAR - NOV FORECAST,STATE,OTHER STATES,,0,COTTON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,159.9,
SURVEY,2024,YEAR - NOV FORECAST,STATE,PENNSYLVANIA,42,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,139,
SURVEY,2024,YEAR - NOV FORECAST,STATE,SOUTH CAROLINA,45,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,90,
SURVEY,2024,YEAR - NOV FORECAST,STATE,SOUTH DAKOTA,46,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166,
SURVEY,2024,YEAR - NOV FORECAST,STATE,TENNESSEE,47,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153,
SURVEY,2024,YEAR - NOV FORECAST,STATE,TEXAS,48,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,112,
SURVEY,2024,YEAR - NOV FORECAST,STATE,VIRGINIA,51,0,OATS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,95,
SURVEY,2024,YEAR - NOV FORECAST,STATE,WASHINGTON,53,0,OATS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,235,
SURVEY,2024,YEAR - NOV FORECAST,STATE,WISCONSIN,55,0,PEANUTS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181,
